Time,ETH / USD Denominated Closing Price
2017/3/22,41.19906312
2017/3/23,43.14097575
2017/3/24,52.98808171
2017/3/25,50.15731116
2017/3/26,50.38064277
2017/3/27,48.84076556
2017/3/28,50.21658262
2017/3/29,52.95493531
2017/3/30,51.83798558
2017/3/31,50.03191672
2017/4/1,50.68561014
2017/4/2,48.79426222
2017/4/3,44.12420267
2017/4/4,44.23347056
2017/4/5,45.3459529
2017/4/6,43.23082264
2017/4/7,42.4313813
2017/4/8,44.62471991
2017/4/9,43.92107333
2017/4/10,43.98673918
2017/4/11,43.90880746
2017/4/12,46.35684535
2017/4/13,49.91329526
2017/4/14,47.10977398
2017/4/15,49.12345061
2017/4/16,48.17713195
2017/4/17,47.84908431
2017/4/18,49.89124251
2017/4/19,48.06689747
2017/4/20,49.34414597
2017/4/21,48.54415026
2017/4/22,48.61265654
2017/4/23,48.87079304
2017/4/24,50.10525821
2017/4/25,50.29492343
2017/4/26,53.5068268
2017/4/27,63.38397374
2017/4/28,73.28969608
2017/4/29,70.47834514
2017/4/30,80.50402759
2017/5/1,78.36565993
2017/5/2,77.65780771
2017/5/3,81.15505075
2017/5/4,95.446198
2017/5/5,91.26194771
2017/5/6,95.52021344
2017/5/7,76.63553116
2017/5/8,89.39672222
2017/5/9,86.21678802
2017/5/10,88.04937333
2017/5/11,88.23983707
2017/5/12,85.48507316
2017/5/13,88.28327491
2017/5/14,89.48000167
2017/5/15,90.85140182
2017/5/16,88.25827288
2017/5/17,86.83205635
2017/5/18,95.83543393
2017/5/19,124.6081964
2017/5/20,124.6207778
2017/5/21,147.7317627
2017/5/22,153.6348578
2017/5/23,169.0764121
2017/5/24,191.8746689
2017/5/25,180.691296
2017/5/26,164.6031456
2017/5/27,155.7260495
2017/5/28,173.2167345
2017/5/29,193.8811404
2017/5/30,228.0737066
2017/5/31,229.1026516
2017/6/1,220.9862857
2017/6/2,221.4670742
2017/6/3,224.3073896
2017/6/4,245.4687001
2017/6/5,248.0564267
2017/6/6,264.4042356
2017/6/7,256.9818762
2017/6/8,258.3728081
2017/6/9,278.4289872
2017/6/10,344.9519871
2017/6/11,344.02691
2017/6/12,389.1937215
2017/6/13,387.2515394
2017/6/14,341.4466369
2017/6/15,342.1193378
2017/6/16,352.6297323
2017/6/17,368.0372691
2017/6/18,350.5344631
2017/6/19,357.6813616
2017/6/20,349.2889135
2017/6/21,320.277859
2017/6/22,320.1459632
2017/6/23,325.9915363
2017/6/24,304.7689278
2017/6/25,276.2423451
2017/6/26,255.0334143
2017/6/27,281.0819213
2017/6/28,317.7762584
2017/6/29,293.9992904
2017/6/30,276.8468785
2017/7/1,261.219362
2017/7/2,286.5332567
2017/7/3,276.3817277
2017/7/4,269.4048347
2017/7/5,266.2622816
2017/7/6,266.6560131
2017/7/7,240.1614219
2017/7/8,244.1960693
2017/7/9,237.9607548
2017/7/10,203.6676054
2017/7/11,192.8919727
2017/7/12,220.3751148
2017/7/13,205.8616911
2017/7/14,197.2468349
2017/7/15,170.5746199
2017/7/16,155.1209585
2017/7/17,189.2216587
2017/7/18,228.7876589
2017/7/19,191.6517059
2017/7/20,224.1071442
2017/7/21,216.2140634
2017/7/22,231.9837748
2017/7/23,228.563603
2017/7/24,225.7141631
2017/7/25,204.2672465
2017/7/26,202.4566677
2017/7/27,202.8899844
2017/7/28,191.488124
2017/7/29,205.9949079
2017/7/30,196.7719152
2017/7/31,200.7608196
2017/8/1,225.7355347
2017/8/2,217.5846641
2017/8/3,224.0288983
2017/8/4,221.4710942
2017/8/5,248.9396661
2017/8/6,266.0311459
2017/8/7,269.6460538
2017/8/8,294.5220355
2017/8/9,296.828835
2017/8/10,301.4374112
2017/8/11,309.8649025
2017/8/12,309.2541212
2017/8/13,297.0431103
2017/8/14,299.8996556
2017/8/15,286.2384911
2017/8/16,300.5814956
2017/8/17,301.5257788
2017/8/18,292.5709303
2017/8/19,294.0063816
2017/8/20,297.9467304
2017/8/21,320.2680209
2017/8/22,314.6671404
2017/8/23,317.9114761
2017/8/24,324.4046785
2017/8/25,330.2298259
2017/8/26,332.4326204
2017/8/27,345.1593945
2017/8/28,347.3121489
2017/8/29,373.2704737
2017/8/30,385.0963627
2017/8/31,388.6289831
2017/9/1,391.600977
2017/9/2,349.1008172
2017/9/3,352.8739889
2017/9/4,313.2596096
2017/9/5,321.6737997
2017/9/6,338.4246511
2017/9/7,336.4140991
2017/9/8,310.0152124
2017/9/9,305.2334737
2017/9/10,301.3287054
2017/9/11,298.0095219
2017/9/12,293.9278711
2017/9/13,276.9573846
2017/9/14,225.3369079
2017/9/15,258.9002478
2017/9/16,255.1844956
2017/9/17,259.5952849
2017/9/18,296.5900298
2017/9/19,284.6862405
2017/9/20,284.78395
2017/9/21,258.7168553
2017/9/22,263.5925193
2017/9/23,285.0988027
2017/9/24,284.7107066
2017/9/25,294.6061791
2017/9/26,288.8733235
2017/9/27,310.3868907
2017/9/28,302.4739997
2017/9/29,291.4838349
2017/9/30,301.6535748
2017/10/1,302.9212154
2017/10/2,296.3831312
2017/10/3,291.627102
2017/10/4,292.1531312
2017/10/5,295.1042659
2017/10/6,307.3656338
2017/10/7,311.5395278
2017/10/8,308.8112078
2017/10/9,296.1699223
2017/10/10,297.8057554
2017/10/11,302.0372256
